groupeD_INTERFACE_NAME,iF_NAME,nodename,rowVersion,errors,hasErrors,customProperties
GE-0/1/3;GE-0/1/6,AE10,GAMASAH-R01J-DK-EG,2024-07-17T15:10:50,,False,{}
GE-0/0/2;GE-0/1/2,AE1,SRQGBMN-R01J-DT-EG,2024-08-07T18:10:02,,False,{}
GE-0/0/4;GE-0/0/9,AE2,REQA-R01J-GIZ-EG,2024-12-04T20:07:36,,False,{}
XE-13/0/12;XE-4/1/16,AE20,KFRSHK-R40J-KFS-EG,2024-06-04T19:15:11,,False,{}
ET-1/0/0;ET-1/0/1;ET-1/0/2;ET-7/0/0,AE50,KFRSHK-R40J-KFS-EG,2024-06-04T19:15:11,,False,{}
XE-4/0/10;XE-4/0/11;XE-4/0/12;XE-4/0/13;XE-4/1/4;XE-4/1/5,AE3,KFRSHK-R40J-KFS-EG,2024-06-04T19:15:11,,False,{}
ET-1/1/6;ET-1/1/8;ET-7/1/2,AE14,KFRSHK-R40J-KFS-EG,2024-06-04T19:15:11,,False,{}
XE-4/0/6;XE-4/0/7;XE-4/0/8;XE-4/0/9;XE-4/1/2;XE-4/1/3,AE1,KFRSHK-R40J-KFS-EG,2024-06-04T19:15:11,,False,{}
ET-1/0/8;ET-1/0/9;ET-1/1/0;ET-1/1/2;ET-1/1/3;ET-7/0/1,AE52,KFRSHK-R40J-KFS-EG,2024-06-04T19:15:11,,False,{}
ET-1/1/7;ET-1/1/9;ET-7/1/3,AE15,KFRSHK-R40J-KFS-EG,2024-06-04T19:15:11,,False,{}
XE-4/0/14;XE-4/0/15;XE-4/0/16;XE-4/0/17;XE-4/1/6;XE-4/1/7,AE5,KFRSHK-R40J-KFS-EG,2024-06-04T19:15:11,,False,{}
XE-4/0/4;XE-4/0/5,AE30,KFRSHK-R40J-KFS-EG,2024-06-04T19:15:11,,False,{}
XE-4/0/2;XE-4/0/3,AE25,KFRSHK-R40J-KFS-EG,2024-06-04T19:15:11,,False,{}
XE-4/0/0;XE-4/0/1,AE35,KFRSHK-R40J-KFS-EG,2024-06-04T19:15:11,,False,{}
