NODENAME,MANAGEMENT_SYSTEM,IP1,NODELOCATION,LOCAL_INTERFACE,locaL_ADDRESS,Role1,NEIGHBOR_HOSTNAME,NEIGHBOR_INTERFACE,neighboR_ADDRESS,NEIGHBORLOCATION,Role2,Direction
GAMASAH-R01J-DK-EG,JUNIPER_MPLS,10.45.6.126,GAMASAH...DK,XE-2/0/0,10.39.67.121/30,EDGE,MNSRWST-R40J-DK-EG,XE-15/1/4,10.39.67.122/30,MANSURAHWEST...DK,DISTRIBUTION & VAS ROUTERS,Uplink
SRQGBMN-R01J-DT-EG,JUNIPER_MPLS,10.45.4.205,SHARQWAGHARBELMINAA...DT,GE-0/0/0,10.39.64.122/30,EDGE,DMIETA-R40J-DT-EG,GE-19/0/2,10.39.64.121/30,DAMIETTA...DT,DISTRIBUTION & VAS ROUTERS,Uplink
SRQGBMN-R01J-DT-EG,JUNIPER_MPLS,10.45.4.205,SHARQWAGHARBELMINAA...DT,GE-0/0/5,10.39.73.141/30,EDGE,DMIETA-R40J-DT-EG,GE-19/0/4,10.39.73.142/30,DAMIETTA...DT,DISTRIBUTION & VAS ROUTERS,Uplink
GAZEY-R01J-MNF-EG,JUNIPER_MPLS,10.45.4.160,GAZEY...MNF,GE-0/0/8,10.39.29.174/30,EDGE,SHBIN1-R41J-MNF-EG,GE-19/0/6,10.39.29.173/30,SHEBINALKAWM1...MNF,DISTRIBUTION & VAS ROUTERS,Uplink
GAZEY-R01J-MNF-EG,JUNIPER_MPLS,10.45.4.160,GAZEY...MNF,GE-0/0/1,10.39.29.178/30,EDGE,SHBIN1-R41J-MNF-EG,GE-19/0/7,10.39.29.177/30,SHEBINALKAWM1...MNF,DISTRIBUTION & VAS ROUTERS,Uplink
GAZEY-R01J-MNF-EG,JUNIPER_MPLS,10.45.4.160,GAZEY...MNF,GE-0/1/7,10.39.67.125/30,EDGE,SHBIN1-R41J-MNF-EG,GE-18/1/7,10.39.67.126/30,SHEBINALKAWM1...MNF,DISTRIBUTION & VAS ROUTERS,Uplink
REQA-R01J-GIZ-EG,JUNIPER_MPLS,10.45.1.54,REQA...GIZ,XE-2/0/0,10.39.214.182/30,EDGE,MAADI2-R40C-C-EG,TE0/10/0/36,10.39.214.181/30,MAADI2...C,DISTRIBUTION & VAS ROUTERS,Uplink
KFRSHK-R40J-KFS-EG,JUNIPER_MPLS,10.45.10.68,KAFRELSHEIKH...KFS,AE52,10.39.10.173/30,DISTRIBUTION & VAS ROUTERS,AUTO-R60C-ALX-EG,BE52,10.39.10.174/30,AUTO...ALX,CORE ROUTERS,Uplink
AUTO-R43J-ALX-EG,JUNIPER_MPLS,10.45.10.143,AUTO...ALX,ET-1/0/0,10.29.8.9/30,MOBILE ROUTERS,AUTO-R60C-ALX-EG,HU0/4/0/7,10.29.8.10/30,AUTO...ALX,CORE ROUTERS,Uplink
AUTO-R43J-ALX-EG,JUNIPER_MPLS,10.45.10.143,AUTO...ALX,ET-2/0/0,10.29.8.13/30,MOBILE ROUTERS,AUTO-R61C-ALX-EG,HU0/7/0/4,10.29.8.14/30,AUTO...ALX,CORE ROUTERS,Uplink
